"Timepoint","Group","Fish","Flowspeed","Avg_YPosition [px]","Distance [px]","Activity [%]","Flow-Adjusted Activity [%]","Efficiency","Swimming Against Flow [%]","Flow-Adjusted Swimming Against Flow [%]","Burst Duration [frames]","Burst Frequency [bursts/min]","Burst Amplitude [pixels]","Time in Y-Quadrant 1 [%]","Time in Y-Quadrant 2 [%]","Time in Y-Quadrant 3 [%]","Time in Y-Quadrant 4 [%]"
"6","DoubleMutants","6_A_5","20 cps",1276.02320029995,172296.078988531,87.7353774370938,61.2064655890685,11.496024107288,38.1436427262123,59.7733711048159,7.68120805369128,59.5900683219463,274.876602919921,4.46592234627562,8.89851691384769,35.060823196134,51.5747375437427
"6","DoubleMutants","6_A_6","0 cps",754.426814833333,161054.629550311,67.9886685552408,67.9886685552408,3.9174955611431,33.5944009331778,NA,18.3272727272727,21.9963339443426,707.123675283847,48.0833333333333,13.8833333333333,13.4333333333333,24.6
"6","DoubleMutants","6_A_6","10 cps",1504.587624,173240.223475307,82.4166666666667,64.4333333333333,12.3761632959296,35.45,56.8333333333333,8.30859375,51.2,318.08482867404,6.61666666666667,5.53333333333333,24.6666666666667,63.1833333333333
"6","DoubleMutants","6_A_6","20 cps",1407.38050208299,170432.784386634,89.0018330278287,58.7068821863023,11.7306495035317,39.6933844359273,57.3571071488085,7.99328859060403,59.5900683219463,274.588228043295,2.81619730044993,7.1154807532078,42.7928678553574,47.2754540909848
"6","DoubleMutants","6_A_7","0 cps",794.3115235,159317.825598818,73.52107982003,73.52107982003,3.57664498676526,34.2609565072488,NA,18.5225225225225,22.1963006165639,676.642146443735,48.9166666666667,16.7333333333333,12.1666666666667,22.1833333333333
"6","DoubleMutants","6_A_7","10 cps",1464.25725033333,173527.273676088,83.35,62.3666666666667,11.9613136702562,35.5666666666667,54.5666666666667,9.1587982832618,46.6,352.759109328035,6.25,6.81666666666667,26.95,59.9833333333333
"6","DoubleMutants","6_A_7","20 cps",1413.96154740877,180611.292261131,87.5187468755207,60.4732544575904,11.3919623606801,39.3101149808365,58.7068821863023,7.83720930232558,60.1899683386102,285.183474481489,2.98283619396767,7.08215297450425,36.6938843526079,53.2411264789202
"6","DoubleMutants","6_A_8","0 cps",754.8664135,168598.030440408,74.8208631894684,74.8208631894684,3.24251351260663,34.9941676387269,NA,17.7966101694915,23.596067322113,663.867449601869,49.0666666666667,17.4166666666667,12.9333333333333,20.5833333333333
"6","DoubleMutants","6_A_8","10 cps",1440.69918816667,153130.695769581,82.9666666666667,58.75,14.4943695636946,33.3166666666667,53.65,7.77821011673152,51.4,278.304264474539,5.11666666666667,5.71666666666667,24.85,64.3166666666667
"6","DoubleMutants","6_A_8","20 cps",1434.40476970505,187785.655798284,88.3686052324613,61.3564405932345,10.9418436320332,39.8100316613898,58.7568738543576,8.04377104377104,59.390101649725,305.020390352383,3.51608065322446,6.89885019163473,36.2606232294618,53.3244459256791
"6","DoubleMutants","6_A_9","0 cps",739.379058333333,174681.076903693,70.2882852857857,70.2882852857857,3.22568223224008,33.6443926012331,NA,16.9663865546218,23.7960339943343,687.047248830488,49.4333333333333,15.6833333333333,12.9666666666667,21.9166666666667
"6","DoubleMutants","6_A_9","10 cps",1489.8096845,163873.885470439,82.9666666666667,61.5666666666667,13.414262124666,33.7,55.35,8.18623481781377,49.4,307.859796158133,5.95,6.63333333333333,21.8,65.6166666666667
"6","DoubleMutants","6_A_9","20 cps",1433.42990134978,177096.304825608,88.6185635727379,60.7065489085152,10.626932739051,38.1436427262123,58.8401933011165,7.52960526315789,60.7898683552741,279.326511899871,4.19930011664723,11.3814364272621,37.3771038160307,47.04215964006
"6","Syt11aSingleMutants","6_B_1","0 cps",873.4556535,112478.308626835,83.4194300949842,83.4194300949842,6.78286140630225,39.0768205299117,NA,21.9158878504673,21.3964339276787,478.003031610788,29.4,29.9666666666667,26.35,14.2833333333333
"6","Syt11aSingleMutants","6_B_1","10 cps",760.905294,86476.1708763179,80.85,53.9,6.69521858530606,31.4333333333333,51.7,8.69124423963134,43.4,179.058469837938,35.55,35.2833333333333,20.25,8.91666666666667
"6","Syt11aSingleMutants","6_B_1","20 cps",978.770494250958,120595.884485855,90.8181969671721,52.9245125812365,7.94381735745407,37.3437760373271,52.8245292451258,9.53617021276596,46.9921679720047,245.774056938902,15.0474920846526,33.6443926012331,39.1768038660223,12.131311448092
"6","Syt11aSingleMutants","6_B_10","0 cps",1352.54235116667,116381.150250773,84.7192134644226,84.7192134644226,7.60668263874961,42.1763039493418,NA,25.5656565656566,19.7967005499083,560.579555310274,23.95,30.7833333333333,27.6333333333333,17.6333333333333
"6","Syt11aSingleMutants","6_B_10","10 cps",648.8562075,93475.920632003,84.5166666666667,51.4333333333333,4.92462995042616,32.35,49.15,8.47598253275109,45.8,186.054529553941,42.65,34.7666666666667,17.0666666666667,5.51666666666667
"6","Syt11aSingleMutants","6_B_10","20 cps",613.43126512248,109250.775335354,85.5524079320113,60.0733211131478,16.4322815944985,35.3941009831695,59.6233961006499,7.34948096885813,57.7903682719547,167.025267291003,7.83202799533411,10.9648391934678,30.5782369605066,50.6248958506916
"6","Syt11aSingleMutants","6_B_2","0 cps",940.890256666667,121245.276022618,85.0691551408099,85.0691551408099,7.38689050187587,42.0596567238794,NA,28.0444444444444,17.9970004999167,622.068081554265,22.3333333333333,32.5833333333333,28.0166666666667,17.0666666666667
"6","Syt11aSingleMutants","6_B_2","10 cps",678.479416333333,85352.0523426626,81.0333333333333,56.1,11.7810709316463,32.0833333333333,54.6333333333333,8.59375,44.8,171.519058089309,21.4333333333333,26.75,27.6833333333333,24.1333333333333
"6","Syt11aSingleMutants","6_B_2","20 cps",1339.86548008665,118924.710451744,85.9523412764539,58.4902516247292,13.0137341524911,35.944009331778,57.9736710548242,8.29615384615385,51.9913347775371,217.103148801461,13.5644059323446,13.6143976003999,29.2784535910682,43.5427428761873
"6","Syt11aSingleMutants","6_B_3","0 cps",946.374966833333,112223.186514189,85.1524745875687,85.1524745875687,8.94919304151316,41.9263456090652,NA,25.9381443298969,19.3967672054658,547.200401495961,21.5166666666667,26.9833333333333,30.7166666666667,20.7833333333333
"6","Syt11aSingleMutants","6_B_3","10 cps",1002.7654675,99955.1085754681,83.9166666666667,59.9666666666667,17.9739976529682,34.8,56.7833333333333,8.73221757322176,47.8,195.276482265308,4.18333333333333,12,39.4333333333333,44.3833333333333
"6","Syt11aSingleMutants","6_B_3","20 cps",1244.0476542243,104011.555202894,77.7703716047325,47.1588068655224,5.59178306491019,30.8115314114314,46.8255290784869,6.60357142857143,55.990668221963,159.113587861046,47.04215964006,12.8145309115147,21.229795034161,18.9135144142643
"6","Syt11aSingleMutants","6_B_4","0 cps",1002.15116616667,108471.846528551,82.769538410265,82.769538410265,7.83946886233249,38.7268788535244,NA,24.989247311828,18.5969005165806,540.001945271019,25.1666666666667,30.8333333333333,27.6166666666667,16.3833333333333
"6","Syt11aSingleMutants","6_B_4","10 cps",1340.370429,85743.3204351604,80.95,55.4,11.6159305101694,31.95,53.8,8.19230769230769,46.8,159.799390366756,21.1666666666667,25.9166666666667,35.2833333333333,17.6333333333333
"6","Syt11aSingleMutants","6_B_4","20 cps",762.63362956174,105872.430671449,80.9698383602733,44.6425595734044,7.68435431168752,30.3782702882853,44.5925679053491,6.72693726937269,54.1909681719713,169.239573389098,38.0103316113981,9.89835027495417,24.6458923512748,27.4454257623729
"6","Syt11aSingleMutants","6_B_5","0 cps",922.150564333333,33304.7386773849,27.6120646558907,27.6120646558907,31.67541473908,12.2979503416097,NA,16.0434782608696,9.19846692217964,232.523550591314,22.6166666666667,28.2166666666667,15.3,33.8666666666667
"6","Syt11aSingleMutants","6_B_5","10 cps",997.992210333333,100916.54887674,72.7166666666667,47.1666666666667,8.00452958975322,27.7,44.9166666666667,10.5859872611465,31.4,285.893003158675,33.6666666666667,17.7,26.9833333333333,21.65
"6","Syt11aSingleMutants","6_B_5","20 cps",901.976312947842,73754.127963467,39.2934510914848,58.0403266122313,13.7324077462053,13.7477087152141,57.7570404932511,7.23684210526316,22.7962006332278,318.016954728371,31.4780869855024,6.58223629395101,21.0131644725879,40.9265122479587
"6","Syt11aSingleMutants","6_B_6","0 cps",1027.10340783333,42608.0692814706,41.7430428261956,41.7430428261956,22.8024470150962,17.230461589735,NA,20.2745098039216,10.1983002832861,343.917222250462,26.35,21.3333333333333,28.5166666666667,23.8
"6","Syt11aSingleMutants","6_B_6","10 cps",898.771106333333,108453.406248145,75.65,46.9166666666667,10.5149484728804,27.25,45.4833333333333,10.21875,32,317.365152828262,23.9333333333333,14.75,28.75,32.5666666666667
"6","Syt11aSingleMutants","6_B_6","20 cps",1006.39046008999,77715.7552235906,33.5444092651225,48.9085152474588,6.18038330461175,12.0313281119813,48.0086652224629,8.29885057471264,17.3971004832528,429.847032519807,58.2902849525079,6.48225295784036,9.21513081153141,26.0123312781203
"6","Syt11aSingleMutants","6_B_7","0 cps",985.681613,37748.3564034585,40.5099150141643,40.5099150141643,26.1621825259118,17.1471421429762,NA,14.2916666666667,14.3976003999333,182.849048374054,16.3833333333333,33.6666666666667,33.0666666666667,16.8833333333333
"6","Syt11aSingleMutants","6_B_7","10 cps",1067.886688,77530.9865959523,56.4333333333333,32.95,3.37485673614357,19.7666666666667,31.5166666666667,7.7516339869281,30.6,216.323013748253,61.65,14.45,15.8166666666667,8.08333333333333
"6","Syt11aSingleMutants","6_B_7","20 cps",693.046287118814,70207.9935941599,42.3596067322113,18.3636060656557,2.0809672712766,13.7310448258624,18.2636227295451,6.98305084745763,23.596067322113,260.852663001276,76.4872521246459,5.81569738376937,9.615064155974,8.08198633561073
"6","Syt11aSingleMutants","6_B_8","0 cps",993.7702905,26023.2017187285,20.0799866688885,20.0799866688885,9.0756189110993,6.61556407265456,NA,9.02272727272727,8.79853357773704,128.465617597508,58.05,31.1166666666667,1.65,9.18333333333333
"6","Syt11aSingleMutants","6_B_8","10 cps",511.5231885,84600.1961623079,58.15,39.5166666666667,3.76687897045948,21.1333333333333,37.25,8.39735099337748,30.2,242.981695641894,61.2333333333333,12.15,14.8333333333333,11.7833333333333
"6","Syt11aSingleMutants","6_B_8","20 cps",382.230999333444,66543.7828504132,38.610231628062,39.0268288618564,7.02487114631149,13.1478086985502,38.610231628062,6.74358974358974,23.3961006498917,263.314304812326,53.5077487085486,12.281286452258,11.5480753207799,22.6628895184136
"6","Syt11aSingleMutants","6_B_9","0 cps",485.980104166667,23582.8094844243,20.9631728045326,20.9631728045326,77.5722168687196,7.48208631894684,NA,13.2058823529412,6.79886685552408,177.456614612484,7.1,19.4,21.8333333333333,51.6666666666667
"6","Syt11aSingleMutants","6_B_9","10 cps",564.5163415,81255.5161018435,58.35,34.25,5.18136365638974,22.0333333333333,32.8333333333333,9.18055555555556,28.8,258.274298293632,52.5333333333333,13.6,19.1666666666667,14.7
"6","Syt11aSingleMutants","6_B_9","20 cps",683.711562072988,69665.9615423826,36.5105815697384,47.4920846525579,5.40146017794985,13.8810198300283,46.9088485252458,7.4375,22.3962672887852,286.051667849862,50.0249958340277,20.5132477920347,16.2972837860357,13.164472587902
"6","Syt11bSingleMutants","6_C_1","0 cps",1390.8001755,25346.0861031972,16.4472587902016,16.4472587902016,76.3165216237008,6.09898350274954,NA,11.4375,6.39893351108149,112.09821976897,2.3,18.7666666666667,31.85,47.0833333333333
"6","Syt11bSingleMutants","6_C_1","10 cps",1543.26456383333,20726.6293426178,10.25,90.1,114.908481963661,3.03333333333333,89.4,8.66666666666667,4.2,97.9600735086105,0.85,2.78333333333333,37.7166666666667,58.65
"6","Syt11bSingleMutants","6_C_1","20 cps",1286.78339043493,18204.2049917341,8.39860023329445,95.0174970838194,90.9576383396612,2.36627228795201,94.5675720713215,8.35294117647059,3.39943342776204,154.157290719799,6.96550574904183,13.4477587068822,51.0248291951341,28.5619063489418
"6","Syt11bSingleMutants","6_C_2","0 cps",942.323301,26430.6846494886,14.6142309615064,14.6142309615064,33.596299732051,4.89918346942176,NA,10.5,5.5990668221963,160.788350053373,20.7333333333333,39.5166666666667,20.1166666666667,19.6333333333333
"6","Syt11bSingleMutants","6_C_2","10 cps",946.811868833333,20956.5929728405,13.6166666666667,76.85,42.7766439003449,6.75,76.35,15,5.4,119.585824254067,37.1166666666667,16.3666666666667,19.05,27.4666666666667
