 ,Label,Area,X,Y
386,78.0,5071,382.208,1863.159
387,79.0,5027,424.026,643.648
388,79.0,3468,466.641,1219.162
389,79.0,3592,346.784,1611.227
390,79.0,4106,453.391,1667.687
391,79.0,5181,383.465,1863.460
392,80.0,5170,433.688,666.174
393,80.0,4068,463.391,1190.721
394,80.0,3497,343.961,1593.392
395,80.0,3920,459.014,1680.374
396,80.0,5264,386.454,1864.017
397,81.0,5053,444.025,693.088
398,81.0,3892,455.371,1158.246
399,81.0,3636,342.029,1580.198
400,81.0,3755,462.952,1688.741
401,81.0,5206,389.488,1865.077
402,82.0,5078,447.378,727.184
403,82.0,3931,445.422,1124.115
404,82.0,3484,341.151,1548.950
405,82.0,3699,466.740,1697.412
406,82.0,5228,391.618,1866.840
407,83.0,5215,445.939,750.847
408,83.0,4027,439.741,1101.885
409,83.0,3457,339.670,1524.644
410,83.0,3759,468.686,1703.699
411,83.0,5285,393.325,1867.768
412,84.0,5207,442.316,782.184
413,84.0,3969,433.726,1073.631
414,84.0,3551,338.837,1498.700
415,84.0,3956,469.603,1711.422
416,84.0,5374,395.450,1869.381
417,85.0,5242,439.357,798.972
418,85.0,3987,429.912,1055.922
419,85.0,3517,339.214,1481.810
420,85.0,3976,469.334,1721.780
421,85.0,5603,395.657,1871.315
422,86.0,5030,424.505,830.794
423,86.0,3960,424.919,1032.650
424,86.0,3469,340.090,1461.481
425,86.0,10058,432.733,1815.184
426,87.0,5115,403.835,860.170
427,87.0,4007,422.624,1016.775
428,87.0,3484,340.832,1445.895
429,87.0,9792,434.039,1824.579
430,88.0,8815,392.911,940.655
431,88.0,3481,342.279,1428.775
432,88.0,9174,430.901,1836.233
433,89.0,8901,379.913,946.497
434,89.0,3479,342.320,1416.921
435,89.0,8784,430.204,1843.652
436,90.0,8651,359.302,953.783
437,90.0,3414,339.980,1401.783
438,90.0,8219,428.377,1855.737
439,91.0,8916,348.046,956.255
440,91.0,3448,339.136,1383.513
441,91.0,8481,430.754,1857.912
442,92.0,3760,398.803,887.306
443,92.0,5022,284.344,1016.798
444,92.0,3473,340.624,1350.554
445,92.0,8763,430.463,1858.767
446,93.0,3667,395.089,869.963
447,93.0,5031,269.852,1034.801
448,93.0,3386,344.535,1322.312
449,93.0,8642,436.176,1861.611
450,94.0,3648,387.963,846.750
451,94.0,4987,251.165,1057.321
452,94.0,3417,349.078,1282.564
453,94.0,8656,439.598,1865.449
454,95.0,3651,383.393,834.185
455,95.0,4874,237.985,1072.895
456,95.0,3364,354.223,1251.224
457,95.0,8521,441.245,1870.171
